,accepted_species,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,Genus
314,Palicourea winkleri,77150875-1,Palicourea winkleri,Palicourea winkleri Borhidi,Rubiaceae,Species,Palicourea,Palicourea Aubl.,145874,30000890-2,Genus,497434,77150875-1,Species,Accepted,Rubiaceae,,Palicourea,,winkleri,,,,Borhidi,,Acta Bot. Hung., 57: 280,(2015),,SE. Mexico to Venezuela and Bolivia,shrub,wet tropical,Palicourea winkleri,Borhidi,497434,210045,H.J.P.Winkl.,,145874,77150875-1,,Y,Palicourea winkleri Borhidi,77150875-1,497434,Palicourea
315,Cordiera sessilis,65657-2,Cordiera sessilis,Cordiera sessilis (Vell.) Kuntze,Rubiaceae,Species,Cordiera,Cordiera A.Rich. ex DC.,47112,30011006-2,Genus,47130,65657-2,Species,Accepted,Rubiaceae,,Cordiera,,sessilis,,,Vell.,Kuntze,,Revis. Gen. Pl., 1: 279,(1891),,Bolivia to Brazil and Paraguay,shrub or tree,seasonally dry tropical,Cordiera sessilis,(Vell.) Kuntze,47130,88443,,,47112,65657-2,,Y,Cordiera sessilis (Vell.) Kuntze,65657-2,47130,Cordiera
316,Mexotis latifolia,77103408-1,Mexotis latifolia,Mexotis latifolia (M.Martens & Galeotti) Terrell & H.Rob.,Rubiaceae,Species,Mexotis,Mexotis Terrell & H.Rob.,459929,77103406-1,Genus,459931,77103408-1,Species,Accepted,Rubiaceae,,Mexotis,,latifolia,,,M.Martens & Galeotti,Terrell & H.Rob.,,J. Bot. Res. Inst. Texas, 3: 61,(2009),,C. Mexico to Guatemala,perennial,wet tropical,Mexotis latifolia,(M.Martens & Galeotti) Terrell & H.Rob.,459931,138522,,,459929,77103408-1,,Y,Mexotis latifolia (M.Martens & Galeotti) Terrell & H.Rob.,77103408-1,459931,Mexotis
317,Vincetoxicum floribundum,102776-1,Vincetoxicum floribundum,Vincetoxicum floribundum (Miq.) Franch. & Sav.,Apocynaceae,Species,Vincetoxicum,Vincetoxicum Wolf,513384,30010004-2,Genus,513532,102776-1,Species,Accepted,Apocynaceae,,Vincetoxicum,,floribundum,,,Miq.,Franch. & Sav.,,Enum. Pl. Jap., 2: 444,(1878),,EC. & SE. China to C. & S. Japan,climbing shrub,temperate,Vincetoxicum floribundum,(Miq.) Franch. & Sav.,513532,513147,,,513384,102776-1,,Y,Vincetoxicum floribundum (Miq.) Franch. & Sav.,102776-1,513532,Vincetoxicum
318,Oldenlandia herbacea,757892-1,Oldenlandia herbacea,Oldenlandia herbacea (L.) Roxb.,Rubiaceae,Species,Oldenlandia,Oldenlandia L.,138188,30014644-2,Genus,138441,757892-1,Species,Accepted,Rubiaceae,,Oldenlandia,,herbacea,,,L.,Roxb.,,Hort. Bengal.,: 11,(1814),,"Africa, Indian Subcontinent to Andaman Is.",annual or perennial,seasonally dry tropical,Oldenlandia herbacea,(L.) Roxb.,138441,97305,,,138188,757892-1,,Y,Oldenlandia herbacea (L.) Roxb.,757892-1,138441,Oldenlandia
319,Pyrostria major,763914-1,Pyrostria major,Pyrostria major (A.Rich. ex DC.) Kainul. & Razafim.,Rubiaceae,Species,Pyrostria,Pyrostria Comm. ex A.Juss.,171303,35231-1,Genus,171335,763914-1,Species,Accepted,Rubiaceae,,Pyrostria,,major,,,A.Rich. ex DC.,Kainul. & Razafim.,,Phytotaxa, 282: 270,(2016),,Madagascar,shrub,seasonally dry tropical,Pyrostria major,(A.Rich. ex DC.) Kainul. & Razafim.,171335,170258,,,171303,763914-1,,Y,Pyrostria major (A.Rich. ex DC.) Kainul. & Razafim.,763914-1,171335,Pyrostria
320,Ophiorrhiza rosacea,758590-1,Ophiorrhiza rosacea,Ophiorrhiza rosacea Ridl.,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140579,758590-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,rosacea,,,,Ridl.,,Fl. Malay Penins., 2: 38,(1923),,Pen. Malaysia (Perak) to Sumatera,subshrub,wet tropical,Ophiorrhiza rosacea,Ridl.,140579,140581,Ridl.,,140250,758590-1,,Y,Ophiorrhiza rosacea Ridl.,758590-1,140579,Ophiorrhiza
321,Urceola micrantha,977796-1,Urceola micrantha,Urceola micrantha (Wall. ex G.Don) D.J.Middleton,Apocynaceae,Species,Urceola,Urceola Roxb.,210936,332043-2,Genus,210956,977796-1,Species,Accepted,Apocynaceae,,Urceola,,micrantha,,,Wall. ex G.Don,D.J.Middleton,,Novon, 4: 151,(1994),,E. Himalaya to S. Nansei-shoto and Pen. Malaysia,climber,wet tropical,Urceola micrantha,(Wall. ex G.Don) D.J.Middleton,210956,66043,,,210936,977796-1,,Y,Urceola micrantha (Wall. ex G.Don) D.J.Middleton,977796-1,210956,Urceola
322,Lomatogonium rotatum,60429819-2,Lomatogonium rotatum,Lomatogonium rotatum (L.) Fr.,Gentianaceae,Species,Lomatogonium,Lomatogonium A.Braun,2350069,30028531-2,Genus,2350101,60429819-2,Species,Accepted,Gentianaceae,,Lomatogonium,,rotatum,,,L.,Fr.,,Summa Veg. Scand., 2: 554,(1849),,Subarctic to N. China and Rocky Mts.,annual,subalpine or subarctic,Lomatogonium rotatum,(L.) Fr.,2350101,2590179,,,2350069,60429819-2,,N,Lomatogonium rotatum (L.) Fr.,60429819-2,2350101,Lomatogonium
323,Swertia arisanensis,370795-1,Swertia arisanensis,Swertia arisanensis Hayata,Gentianaceae,Species,Swertia,Swertia L.,2590364,30002722-2,Genus,2590435,370795-1,Species,Accepted,Gentianaceae,,Swertia,,arisanensis,,,,Hayata,,J. Coll. Sci. Imp. Univ. Tokyo, 30(1): 203,(1911),,C. & E. Taiwan,annual,temperate,Swertia arisanensis,Hayata,2590435,2590341,Hayata,,2590364,370795-1,,N,Swertia arisanensis Hayata,370795-1,2590435,Swertia
324,Desmidorchis penicillata,986779-1,Desmidorchis penicillata,Desmidorchis penicillata (Deflers) Plowes,Apocynaceae,Species,Desmidorchis,Desmidorchis Ehrenb.,504430,3319-1,Genus,504449,986779-1,Species,Accepted,Apocynaceae,,Desmidorchis,,penicillata,,,Deflers,Plowes,,Haseltonia, 3: 58,(1995),,"NE. Trop. Africa, SW. & S. Arabian Pen.",succulent subshrub,desert or dry shrubland,Desmidorchis penicillata,(Deflers) Plowes,504449,501813,,,504430,986779-1,,Y,Desmidorchis penicillata (Deflers) Plowes,986779-1,504449,Desmidorchis
325,Tabernaemontana debrayi,913394-1,Tabernaemontana debrayi,Tabernaemontana debrayi (Markgr.) Leeuwenb.,Apocynaceae,Species,Tabernaemontana,Tabernaemontana Plum. ex L.,200545,328993-2,Genus,200664,913394-1,Species,Accepted,Apocynaceae,,Tabernaemontana,,debrayi,,,Markgr.,Leeuwenb.,,J. Ethno-Pharmacol., 10: 10,(1984),,N. Madagascar,tree,wet tropical,Tabernaemontana debrayi,(Markgr.) Leeuwenb.,200664,146849,,,200545,913394-1,,Y,Tabernaemontana debrayi (Markgr.) Leeuwenb.,913394-1,200664,Tabernaemontana
326,Mitracarpus hirtus,756228-1,Mitracarpus hirtus,Mitracarpus hirtus (L.) DC.,Rubiaceae,Species,Mitracarpus,Mitracarpus Zucc.,128704,30004750-2,Genus,128746,756228-1,Species,Accepted,Rubiaceae,,Mitracarpus,,hirtus,,,L.,DC.,,Prodr., 4: 572,(1830),,Mexico to Trop. America,annual,seasonally dry tropical,Mitracarpus hirtus,(L.) DC.,128746,193603,,,128704,756228-1,,Y,Mitracarpus hirtus (L.) DC.,756228-1,128746,Mitracarpus
327,Aspidosperma album,77325-1,Aspidosperma album,Aspidosperma album (Vahl) Benoist ex Pichon,Apocynaceae,Species,Aspidosperma,Aspidosperma Mart. & Zucc.,17223,2217-1,Genus,17226,77325-1,Species,Accepted,Apocynaceae,,Aspidosperma,,album,,,Vahl,Benoist ex Pichon,,Bull. Mus. Natl. Hist. Nat.,", sér. 2, 19: 367",(1948),,N. South America to Peru,tree,wet tropical,Aspidosperma album,(Vahl) Benoist ex Pichon,17226,116241,,,17223,77325-1,,Y,Aspidosperma album (Vahl) Benoist ex Pichon,77325-1,17226,Aspidosperma
328,Gentianopsis thermalis,108770-2,Gentianopsis thermalis,Gentianopsis thermalis (Kuntze) Iltis,Gentianaceae,Species,Gentianopsis,Gentianopsis Ma,2822413,295836-2,Genus,2822460,108770-2,Species,Accepted,Gentianaceae,,Gentianopsis,,thermalis,,,Kuntze,Iltis,,Sida, 2: 134,(1965),,WC. U.S.A.,annual,temperate,Gentianopsis thermalis,(Kuntze) Iltis,2822460,2821683,,,2822413,108770-2,,N,Gentianopsis thermalis (Kuntze) Iltis,108770-2,2822460,Gentianopsis
329,Gentianopsis lanceolata,108760-2,Gentianopsis lanceolata,Gentianopsis lanceolata (Benth.) Iltis,Gentianaceae,Species,Gentianopsis,Gentianopsis Ma,2822413,295836-2,Genus,2822439,108760-2,Species,Accepted,Gentianaceae,,Gentianopsis,,lanceolata,,,Benth.,Iltis,,Sida, 2: 135,(1965),,Mexico,annual,subtropical,Gentianopsis lanceolata,(Benth.) Iltis,2822439,2350374,,,2822413,108760-2,,N,Gentianopsis lanceolata (Benth.) Iltis,108760-2,2822439,Gentianopsis
330,Palicourea alpina,758987-1,Palicourea alpina,Palicourea alpina (Sw.) DC.,Rubiaceae,Species,Palicourea,Palicourea Aubl.,145874,30000890-2,Genus,145886,758987-1,Species,Accepted,Rubiaceae,,Palicourea,,alpina,,,Sw.,DC.,,Prodr., 4: 528,(1830),,Caribbean,shrub or tree,wet tropical,Palicourea alpina,(Sw.) DC.,145886,167129,,,145874,758987-1,,Y,Palicourea alpina (Sw.) DC.,758987-1,145886,Palicourea
331,Callichilia barteri,77635-1,Callichilia barteri,Callichilia barteri (Hook.f.) Stapf,Apocynaceae,Species,Callichilia,Callichilia Stapf,31037,2237-1,Genus,31038,77635-1,Species,Accepted,Apocynaceae,,Callichilia,,barteri,,,Hook.f.,Stapf,D.Oliver & auct. suc. (eds.),Fl. Trop. Afr., 4(1): 133,(1902),,Togo to WC. Trop. Africa,shrub,wet tropical,Callichilia barteri,(Hook.f.) Stapf,31038,200583,,,31037,77635-1,,Y,Callichilia barteri (Hook.f.) Stapf,77635-1,31038,Callichilia
332,Picralima nitida,81115-1,Picralima nitida,Picralima nitida (Stapf) T.Durand & H.Durand,Apocynaceae,Species,Picralima,Picralima Pierre,156024,2513-1,Genus,156030,81115-1,Species,Accepted,Apocynaceae,,Picralima,,nitida,,,Stapf,T.Durand & H.Durand,,Syll. Fl. Congol.,: 338,(1909),,W. Trop. Africa to Uganda,tree,wet tropical,Picralima nitida,(Stapf) T.Durand & H.Durand,156030,200829,,,156024,81115-1,,Y,Picralima nitida (Stapf) T.Durand & H.Durand,81115-1,156030,Picralima
333,Gynochthodes officinalis,77117592-1,Gynochthodes officinalis,Gynochthodes officinalis (F.C.How) Razafim. & B.Bremer,Rubiaceae,Species,Gynochthodes,Gynochthodes Blume,93908,34676-1,Genus,473264,77117592-1,Species,Accepted,Rubiaceae,,Gynochthodes,,officinalis,,,F.C.How,Razafim. & B.Bremer,,Adansonia,", sér. 3, 33: 293",(2011),,SE. China to Hainan,climber,wet tropical,Gynochthodes officinalis,(F.C.How) Razafim. & B.Bremer,473264,129889,,,93908,77117592-1,,Y,Gynochthodes officinalis (F.C.How) Razafim. & B.Bremer,77117592-1,473264,Gynochthodes
334,Alstonia actinophylla,105697-3,Alstonia actinophylla,Alstonia actinophylla (A.Cunn.) K.Schum.,Apocynaceae,Species,Alstonia,Alstonia R.Br.,6994,331333-2,Genus,6995,105697-3,Species,Accepted,Apocynaceae,,Alstonia,,actinophylla,,,A.Cunn.,K.Schum.,H.G.A.Engler & K.A.E.Prantl,Nat. Pflanzenfam., 4(2): 138,(1895),,S. New Guinea to N. Australia,tree,wet tropical,Alstonia actinophylla,(A.Cunn.) K.Schum.,6995,7193,,,6994,105697-3,,Y,Alstonia actinophylla (A.Cunn.) K.Schum.,105697-3,6995,Alstonia
335,Comastoma tenellum,63775-2,Comastoma tenellum,Comastoma tenellum (Rottb.) Toyok.,Gentianaceae,Species,Comastoma,Comastoma Toyok.,2732297,16511-1,Genus,2732324,63775-2,Species,Accepted,Gentianaceae,,Comastoma,,tenellum,,,Rottb.,Toyok.,,Bot. Mag. (Tokyo), 74: 198,(1961),,"Europe to Mongolia and Himalaya, Morocco, W. North America",annual or biennial,temperate,Comastoma tenellum,(Rottb.) Toyok.,2732324,2821660,,,2732297,63775-2,,N,Comastoma tenellum (Rottb.) Toyok.,63775-2,2732324,Comastoma
336,Vincetoxicum mukdenense,102886-1,Vincetoxicum mukdenense,Vincetoxicum mukdenense Kitag.,Apocynaceae,Species,Vincetoxicum,Vincetoxicum Wolf,513384,30010004-2,Genus,513685,102886-1,Species,Accepted,Apocynaceae,,Vincetoxicum,,mukdenense,,,,Kitag.,,J. Jap. Bot., 16: 20,(1940),,S. Siberia to Temp. E. Asia and China,perennial,temperate,Vincetoxicum mukdenense,Kitag.,513685,510731,Kitag.,,513384,102886-1,,Y,Vincetoxicum mukdenense Kitag.,102886-1,513685,Vincetoxicum
337,Vincetoxicum tanakae,103006-1,Vincetoxicum tanakae,Vincetoxicum tanakae (Maxim.) Franch. & Sav.,Apocynaceae,Species,Vincetoxicum,Vincetoxicum Wolf,513384,30010004-2,Genus,513836,103006-1,Species,Accepted,Apocynaceae,,Vincetoxicum,,tanakae,,,Maxim.,Franch. & Sav.,,Enum. Pl. Jap., 2: 444,(1878),,"Japan (Izu Prov, Kyushu) to Nansei-shoto",climber,subtropical,Vincetoxicum tanakae,(Maxim.) Franch. & Sav.,513836,513313,,,513384,103006-1,,Y,Vincetoxicum tanakae (Maxim.) Franch. & Sav.,103006-1,513836,Vincetoxicum
338,Gentiana loureiroi,368449-1,Gentiana loureiroi,Gentiana loureiroi (G.Don) Griseb.,Gentianaceae,Species,Gentiana,Gentiana Tourn. ex L.,2819805,30001281-2,Genus,2820860,368449-1,Species,Accepted,Gentianaceae,,Gentiana,,loureiroi,,,G.Don,Griseb.,A.P.de Candolle,Prodr., 9: 108,(1845),,Bhutan and Taiwan,perennial,temperate,Gentiana loureiroi,(G.Don) Griseb.,2820860,2794848,,,2819805,368449-1,,N,Gentiana loureiroi (G.Don) Griseb.,368449-1,2820860,Gentiana
339,Tocoyena formosa,254970-2,Tocoyena formosa,Tocoyena formosa (Cham. & Schltdl.) K.Schum.,Rubiaceae,Species,Tocoyena,Tocoyena Aubl.,206893,35467-1,Genus,206905,254970-2,Species,Accepted,Rubiaceae,,Tocoyena,,formosa,,,Cham. & Schltdl.,K.Schum.,C.F.P.von Martius & auct. suc. (eds.),Fl. Bras., 6(6): 347,(1889),,Suriname to Paraguay,subshrub or shrub,wet tropical,Tocoyena formosa,(Cham. & Schltdl.) K.Schum.,206905,88216,,,206893,254970-2,,Y,Tocoyena formosa (Cham. & Schltdl.) K.Schum.,254970-2,206905,Tocoyena
340,Uncaria cordata,768226-1,Uncaria cordata,Uncaria cordata (Lour.) Merr.,Rubiaceae,Species,Uncaria,Uncaria Schreb.,209736,327895-2,Genus,209769,768226-1,Species,Accepted,Rubiaceae,,Uncaria,,cordata,,,Lour.,Merr.,,Interpr. Herb. Amboin.,: 479,(1917),,Bangladesh to N. Queensland,liana,wet tropical,Uncaria cordata,(Lour.) Merr.,209769,177384,,,209736,768226-1,,Y,Uncaria cordata (Lour.) Merr.,768226-1,209769,Uncaria
341,Vallaris solanacea,82660-1,Vallaris solanacea,Vallaris solanacea (Roth ex Roem. & Schult.) Kuntze,Apocynaceae,Species,Vallaris,Vallaris Burm.f.,211376,2616-1,Genus,211399,82660-1,Species,Accepted,Apocynaceae,,Vallaris,,solanacea,,,Roth ex Roem. & Schult.,Kuntze,,Revis. Gen. Pl., 2: 417,(1891),,"Indian Subcontinent to Indo-China, Hainan",climber,wet tropical,Vallaris solanacea,(Roth ex Roem. & Schult.) Kuntze,211399,149739,,,211376,82660-1,,Y,Vallaris solanacea (Roth ex Roem. & Schult.) Kuntze,82660-1,211399,Vallaris
342,Swertia purpurascens,371054-1,Swertia purpurascens,Swertia purpurascens (D.Don) C.B.Clarke,Gentianaceae,Species,Swertia,Swertia L.,2590364,30002722-2,Genus,2590195,371054-1,Species,Accepted,Gentianaceae,,Swertia,,purpurascens,,,D.Don,C.B.Clarke,J.D.Hooker,Fl. Brit. India, 4: 121,(1883),,Afghanistan to Himalaya and SW. Tibet,annual,subalpine or subarctic,Swertia purpurascens,(D.Don) C.B.Clarke,2590195,2387797,,,2590364,371054-1,,N,Swertia purpurascens (D.Don) C.B.Clarke,371054-1,2590195,Swertia
343,Psychotria milnei,762683-1,Psychotria milnei,Psychotria milnei (A.Gray) K.Schum.,Rubiaceae,Species,Psychotria,Psychotria L.,167065,326020-2,Genus,168854,762683-1,Species,Accepted,Rubiaceae,,Psychotria,,milnei,,,A.Gray,K.Schum.,H.G.A.Engler & K.A.E.Prantl,Nat. Pflanzenfam., 4(4): 113,(1891),,"Vanuatu, Fiji",shrub or tree,wet tropical,Psychotria milnei,(A.Gray) K.Schum.,168854,32144,,,167065,762683-1,,Y,Psychotria milnei (A.Gray) K.Schum.,762683-1,168854,Psychotria
344,Neonauclea calycina,757384-1,Neonauclea calycina,Neonauclea calycina (Bartl. ex DC.) Merr.,Rubiaceae,Species,Neonauclea,Neonauclea Merr.,133905,327872-2,Genus,133921,757384-1,Species,Accepted,Rubiaceae,,Neonauclea,,calycina,,,Bartl. ex DC.,Merr.,,J. Washington Acad. Sci., 5: 539,(1915),,Arunachal Pradesh to W. & C. Malesia,tree,wet tropical,Neonauclea calycina,(Bartl. ex DC.) Merr.,133921,133142,,,133905,757384-1,,Y,Neonauclea calycina (Bartl. ex DC.) Merr.,757384-1,133921,Neonauclea
345,Tabernaemontana oppositifolia,248887-2,Tabernaemontana oppositifolia,Tabernaemontana oppositifolia (Spreng.) Urb.,Apocynaceae,Species,Tabernaemontana,Tabernaemontana Plum. ex L.,200545,328993-2,Genus,200846,248887-2,Species,Accepted,Apocynaceae,,Tabernaemontana,,oppositifolia,,,Spreng.,Urb.,,Symb. Antill., 4: 493,(1910),,"Puerto Rico, Tobago, Trinidad",shrub or tree,wet tropical,Tabernaemontana oppositifolia,(Spreng.) Urb.,200846,176923,,,200545,248887-2,,Y,Tabernaemontana oppositifolia (Spreng.) Urb.,248887-2,200846,Tabernaemontana
346,Gentianopsis ciliata,369374-1,Gentianopsis ciliata,Gentianopsis ciliata (L.) Ma,Gentianaceae,Species,Gentianopsis,Gentianopsis Ma,2822413,295836-2,Genus,2822421,369374-1,Species,Accepted,Gentianaceae,,Gentianopsis,,ciliata,,,L.,Ma,,Acta Phytotax., 1: 15,(1951),,"Europe to W. & C. Siberia and Iran, Morocco",biennial or perennial,temperate,Gentianopsis ciliata,(L.) Ma,2822421,2820231,,,2822413,369374-1,,N,Gentianopsis ciliata (L.) Ma,369374-1,2822421,Gentianopsis
347,Rothmannia urcelliformis,765161-1,Rothmannia urcelliformis,Rothmannia urcelliformis (Hiern) Bullock ex Robyns,Rubiaceae,Species,Rothmannia,Rothmannia Thunb.,180021,327884-2,Genus,180083,765161-1,Species,Accepted,Rubiaceae,,Rothmannia,,urcelliformis,,,Hiern,Bullock ex Robyns,,Fl. Spermatophyt. Parc Nat. Albert, 2: 340,(1947),,Trop. Africa,shrub or tree,wet tropical,Rothmannia urcelliformis,(Hiern) Bullock ex Robyns,180083,88519,,,180021,765161-1,,Y,Rothmannia urcelliformis (Hiern) Bullock ex Robyns,765161-1,180083,Rothmannia
348,Alstonia costata,76521-1,Alstonia costata,Alstonia costata (G.Forst.) R.Br.,Apocynaceae,Species,Alstonia,Alstonia R.Br.,6994,331333-2,Genus,7018,76521-1,Species,Accepted,Apocynaceae,,Alstonia,,costata,,,G.Forst.,R.Br.,,Asclepiadeae,: 64,(1810),,Solomon Is. to S. Pacific,shrub or tree,wet tropical,Alstonia costata,(G.Forst.) R.Br.,7018,65873,,,6994,76521-1,,Y,Alstonia costata (G.Forst.) R.Br.,76521-1,7018,Alstonia
349,Vincetoxicum stauntonii,946561-1,Vincetoxicum stauntonii,Vincetoxicum stauntonii (Decne.) C.Y.Wu & D.Z.Li,Apocynaceae,Species,Vincetoxicum,Vincetoxicum Wolf,513384,30010004-2,Genus,513807,946561-1,Species,Accepted,Apocynaceae,,Vincetoxicum,,stauntonii,,,Decne.,C.Y.Wu & D.Z.Li,,Acta Bot. Yunnan., 11: 47,(1989),,C. & S. China to Vietnam,perennial,temperate,Vincetoxicum stauntonii,(Decne.) C.Y.Wu & D.Z.Li,513807,510055,,,513384,946561-1,,Y,Vincetoxicum stauntonii (Decne.) C.Y.Wu & D.Z.Li,946561-1,513807,Vincetoxicum
350,Curtia tenuifolia,72731-2,Curtia tenuifolia,Curtia tenuifolia (Aubl.) Knobl.,Gentianaceae,Species,Curtia,Curtia Cham. & Schltdl.,2748863,16521-1,Genus,2748877,72731-2,Species,Accepted,Gentianaceae,,Curtia,,tenuifolia,,,Aubl.,Knobl.,,Bot. Centralbl., 60: 323,(1894),,Mexico (Tabasco) to S. Trop. America,annual,wet tropical,Curtia tenuifolia,(Aubl.) Knobl.,2748877,2806127,,,2748863,72731-2,,N,Curtia tenuifolia (Aubl.) Knobl.,72731-2,2748877,Curtia
351,Baroniella acuminata,94853-1,Baroniella acuminata,Baroniella acuminata (Choux) Bullock,Apocynaceae,Species,Baroniella,Baroniella Costantin & Gallaud,501157,3224-1,Genus,501158,94853-1,Species,Accepted,Apocynaceae,,Baroniella,,acuminata,,,Choux,Bullock,,Kew Bull., 10: 283,(1955),,Madagascar,climbing shrub,seasonally dry tropical,Baroniella acuminata,(Choux) Bullock,501158,501170,,,501157,94853-1,,Y,Baroniella acuminata (Choux) Bullock,94853-1,501158,Baroniella
352,Cascabela thevetia,47927-2,Cascabela thevetia,Cascabela thevetia (L.) Lippold,Apocynaceae,Species,Cascabela,Cascabela Raf.,34830,2250-1,Genus,34836,47927-2,Species,Accepted,Apocynaceae,,Cascabela,,thevetia,,,L.,Lippold,,Feddes Repert., 91: 52,(1980),,Mexico to S. Trop. America,shrub or tree,seasonally dry tropical,Cascabela thevetia,(L.) Lippold,34836,37187,,,34830,47927-2,,Y,Cascabela thevetia (L.) Lippold,47927-2,34836,Cascabela
353,Breonia chinensis,745138-1,Breonia chinensis,Breonia chinensis (Lam.) Capuron,Rubiaceae,Species,Breonia,Breonia A.Rich. ex DC.,24356,34253-1,Genus,24358,745138-1,Species,Accepted,Rubiaceae,,Breonia,,chinensis,,,Lam.,Capuron,,Adansonia,", n.s., 13: 472",(1973 publ. 1974),,E. Madagascar,tree,wet tropical,Breonia chinensis,(Lam.) Capuron,24358,36706,,,24356,745138-1,,Y,Breonia chinensis (Lam.) Capuron,745138-1,24358,Breonia
354,Tarenna asiatica,60434903-2,Tarenna asiatica,Tarenna asiatica (L.) Kuntze ex K.Schum.,Rubiaceae,Species,Tarenna,Tarenna Gaertn.,201680,327893-2,Genus,201693,60434903-2,Species,Accepted,Rubiaceae,,Tarenna,,asiatica,,,L.,Kuntze ex K.Schum.,,Bot. Tidsskr., 24: 332,(1902),,India to Nansei-shoto and Borneo,shrub or tree,wet tropical,Tarenna asiatica,(L.) Kuntze ex K.Schum.,201693,179422,,,201680,60434903-2,,Y,Tarenna asiatica (L.) Kuntze ex K.Schum.,60434903-2,201693,Tarenna
355,Swertia chirayita,60447535-2,Swertia chirayita,Swertia chirayita (Roxb.) H.Karst.,Gentianaceae,Species,Swertia,Swertia L.,2590364,30002722-2,Genus,2608888,60447535-2,Species,Accepted,Gentianaceae,,Swertia,,chirayita,,,Roxb.,H.Karst.,,Deut. Fl.,: 1025,(1883),,Himalaya to Assam,annual or biennial,temperate,Swertia chirayita,(Roxb.) H.Karst.,2608888,2820217,,,2590364,60447535-2,,N,Swertia chirayita (Roxb.) H.Karst.,60447535-2,2608888,Swertia
356,Swertia brownii,941107-1,Swertia brownii,Swertia brownii J.Shah,Gentianaceae,Species,Swertia,Swertia L.,2590364,30002722-2,Genus,2590513,941107-1,Species,Accepted,Gentianaceae,,Swertia,,brownii,,,,J.Shah,,Pakistan J. Forest., 38(2): 82,(1988),,S. Ethiopia to EC. & E. Trop. Africa,perennial,montane tropical,Swertia brownii,J.Shah,2590513,2590553,N.E.Br.,,2590364,941107-1,,N,Swertia brownii J.Shah,941107-1,2590513,Swertia
357,Palicourea coriacea,180957-2,Palicourea coriacea,Palicourea coriacea (Cham.) K.Schum.,Rubiaceae,Species,Palicourea,Palicourea Aubl.,145874,30000890-2,Genus,145973,180957-2,Species,Accepted,Rubiaceae,,Palicourea,,coriacea,,,Cham.,K.Schum.,H.G.A.Engler & K.A.E.Prantl,Nat. Pflanzenfam., 4(4): 115,(1891),,Brazil to Bolivia,subshrub,seasonally dry tropical,Palicourea coriacea,(Cham.) K.Schum.,145973,148104,,,145874,180957-2,,Y,Palicourea coriacea (Cham.) K.Schum.,180957-2,145973,Palicourea
358,Coussarea hydrangeifolia,1073014-2,Coussarea hydrangeifolia,Coussarea hydrangeifolia (Benth.) Benth. & Hook.f. ex Müll.Arg.,Rubiaceae,Species,Coussarea,Coussarea Aubl.,48396,34412-1,Genus,48451,1073014-2,Species,Accepted,Rubiaceae,,Coussarea,,hydrangeifolia,,,Benth.,Benth. & Hook.f. ex Müll.Arg.,C.F.P.von Martius & auct. suc. (eds.),Fl. Bras., 6(5): 94,(1881),,S. Trop. America,shrub or tree,wet tropical,Coussarea hydrangeifolia,(Benth.) Benth. & Hook.f. ex Müll.Arg.,48451,84082,,,48396,1073014-2,,Y,Coussarea hydrangeifolia (Benth.) Benth. & Hook.f. ex Müll.Arg.,1073014-2,48451,Coussarea
359,Wrightia tinctoria,82890-1,Wrightia tinctoria,Wrightia tinctoria (Roxb.) R.Br.,Apocynaceae,Species,Wrightia,Wrightia R.Br.,214883,60443770-2,Genus,214955,82890-1,Species,Accepted,Apocynaceae,,Wrightia,,tinctoria,,,Roxb.,R.Br.,,Asclepiadeae,: 59,(1810),,India to Myanmar,tree,seasonally dry tropical,Wrightia tinctoria,(Roxb.) R.Br.,214955,135210,,,214883,82890-1,,Y,Wrightia tinctoria (Roxb.) R.Br.,82890-1,214955,Wrightia
360,Adina cordifolia,742903-1,Adina cordifolia,Adina cordifolia (Roxb.) Brandis,Rubiaceae,Species,Adina,Adina Salisb.,3234,34103-1,Genus,3238,742903-1,Species,Accepted,Rubiaceae,,Adina,,cordifolia,,,Roxb.,Brandis,,Forest Fl. N.W. India,: 263,(1874),,Indian Subcontinent to China (Yunnan) and Pen. Malaysia (Perlis),tree,wet tropical,Adina cordifolia,(Roxb.) Brandis,3238,133153,,,3234,742903-1,,Y,Adina cordifolia (Roxb.) Brandis,742903-1,3238,Adina
