,accepted_species,accepted_species_w_author,native_tdwg3_codes,intro_tdwg3_codes
1372,Aspidosperma nanum,Aspidosperma nanum Markgr.,"('BZC',)",
1373,Aspidosperma neblinae,Aspidosperma neblinae Monach.,"('BZN', 'VEN')",
1374,Aspidosperma nemorale,Aspidosperma nemorale Handro,"('BZL',)",
1375,Aspidosperma nigricans,Aspidosperma nigricans Handro,"('BZE',)",
1376,Aspidosperma nobile,Aspidosperma nobile Müll.Arg.,"('BOL', 'BZC', 'BZL')",
1377,Aspidosperma oblongum,Aspidosperma oblongum A.DC.,"('FRG', 'GUY', 'SUR', 'VEN')",
1378,Aspidosperma obscurinervium,Aspidosperma obscurinervium Azambuja,"('BZN',)",
1379,Aspidosperma olivaceum,Aspidosperma olivaceum Müll.Arg.,"('BZL',)",
1380,Aspidosperma pachypterum,Aspidosperma pachypterum Müll.Arg.,"('CLM', 'VEN')",
1381,Aspidosperma parvifolium,Aspidosperma parvifolium A.DC.,"('BOL', 'BZC', 'BZE', 'BZL', 'CLM', 'GUY', 'PER', 'SUR', 'VEN', 'VNA')",
1382,Aspidosperma pichonianum,Aspidosperma pichonianum Woodson,"('VEN',)",
1383,Aspidosperma polyneuron,Aspidosperma polyneuron Müll.Arg.,"('AGE', 'BZE', 'BZL', 'BZS', 'CLM', 'PAR', 'PER', 'VEN')",
1384,Aspidosperma pyricollum,Aspidosperma pyricollum Müll.Arg.,"('BZE', 'BZL', 'BZN', 'BZS')",
1385,Aspidosperma pyrifolium,Aspidosperma pyrifolium Mart.,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'PAR')",
1386,Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco Schltdl.,"('AGE', 'AGW', 'BOL', 'BZC', 'PAR', 'URU')",
1387,Aspidosperma ramiflorum,Aspidosperma ramiflorum Müll.Arg.,"('BOL', 'BZL', 'BZS')",
1388,Aspidosperma reductum,Aspidosperma reductum (Hassl.) Woodson,"('PAR',)",
1389,Aspidosperma resonans,Aspidosperma resonans H.J.Will. & Goyder,"('BOL',)",
1390,Aspidosperma riedelii,Aspidosperma riedelii Müll.Arg.,"('BZE', 'BZL', 'PAR')",
1391,Aspidosperma rigidum,Aspidosperma rigidum Rusby,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'PER', 'VEN')",
1392,Aspidosperma rizzoanum,Aspidosperma rizzoanum Scudeler & A.C.D.Castello,"('BZC',)",
1393,Aspidosperma salgadense,Aspidosperma salgadense Markgr.,"('BZN',)",
1394,Aspidosperma sandwithianum,Aspidosperma sandwithianum Markgr.,"('FRG', 'GUY', 'SUR')",
1395,Aspidosperma schultesii,Aspidosperma schultesii Woodson,"('BZN', 'CLM', 'FRG', 'PER', 'VEN')",
1396,Aspidosperma spruceanum,Aspidosperma spruceanum Benth. ex Müll.Arg.,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'FRG', 'GUY', 'PER', 'SUR')",
1397,Aspidosperma steinbachii,Aspidosperma steinbachii Markgr.,"('BOL', 'BZC', 'BZN', 'PER')",
1398,Aspidosperma steyermarkii,Aspidosperma steyermarkii Woodson,"('VEN',)",
1399,Aspidosperma subincanum,Aspidosperma subincanum Mart.,"('BOL', 'BZC', 'BZE', 'BZL')",
1400,Aspidosperma tambopatense,Aspidosperma tambopatense A.H.Gentry,"('BOL', 'BZN', 'PER')",
1401,Aspidosperma thomasii,Aspidosperma thomasii Marc.-Ferr.,"('BZE',)",
1402,Aspidosperma tomentosum,Aspidosperma tomentosum Mart.,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'PAR')",
1403,Aspidosperma triternatum,Aspidosperma triternatum Rojas Acosta,"('AGE', 'AGW', 'BOL', 'PAR')",
1404,Aspidosperma ulei,Aspidosperma ulei Markgr.,"('BZE', 'BZN', 'GUY', 'SUR', 'VEN')",
1405,Aspidosperma williamii,Aspidosperma williamii Duarte,"('BZN',)",
1406,Astephanus triflorus,Astephanus triflorus (L.f.) R.Br. ex Schult.,"('CPP',)",
1407,Astephanus zeyheri,Astephanus zeyheri Turcz.,"('CPP',)",
1408,Asterostemma repandum,Asterostemma repandum Decne.,"('JAW',)",
1409,Astiella antongilensis,Astiella antongilensis Groeninckx,"('MDG',)",
1410,Astiella antsalovansis,Astiella antsalovansis Groeninckx,"('MDG',)",
1411,Astiella confusa,Astiella confusa Groeninckx,"('MDG',)",
1412,Astiella deblockiae,Astiella deblockiae Groeninckx,"('MDG',)",
1413,Astiella delicatula,Astiella delicatula Jovet,"('MDG',)",
1414,Astiella desseinii,Astiella desseinii Groeninckx,"('MDG',)",
1415,Astiella homolleae,Astiella homolleae Groeninckx,"('MDG',)",
1416,Astiella latifolia,Astiella latifolia Groeninckx,"('MDG',)",
1417,Astiella longifimbria,Astiella longifimbria Groeninckx,"('MDG',)",
1418,Astiella perrieri,Astiella perrieri Groeninckx,"('MDG',)",
1419,Astiella pulla,Astiella pulla Groeninckx,"('MDG',)",
1420,Astiella tsaratanensis,Astiella tsaratanensis Groeninckx,"('MDG',)",
1421,Atherandra acutifolia,Atherandra acutifolia Decne.,"('JAW', 'MLY', 'MYA', 'SUM', 'THA', 'VIE')",
1422,Atractocarpus aragoensis,Atractocarpus aragoensis Guillaumin,"('NWC',)",
1423,Atractocarpus artensis,Atractocarpus artensis (Montrouz.) Mouly,"('NWC',)",
1424,Atractocarpus baladicus,Atractocarpus baladicus (Montrouz. ex Guillaumin & Beauvis.) Mouly,"('NWC',)",
1425,Atractocarpus benthamianus,Atractocarpus benthamianus (F.Muell.) Puttock,"('NSW',)",
1426,Atractocarpus bracteatus,Atractocarpus bracteatus Schltr. & K.Krause,"('NWC',)",
1427,Atractocarpus brandzeanus,Atractocarpus brandzeanus (Baill.) Mouly,"('NWC',)",
1428,Atractocarpus carolinensis,Atractocarpus carolinensis (Valeton) Puttock,"('CRL',)",
1429,Atractocarpus chartaceus,Atractocarpus chartaceus (F.Muell.) Puttock,"('NSW', 'QLD')",
1430,Atractocarpus colnettianus,Atractocarpus colnettianus (Guillaumin) Mouly,"('NWC',)",
1431,Atractocarpus confertus,Atractocarpus confertus (Guillaumin) Mouly,"('NWC',)",
1432,Atractocarpus crosbyi,Atractocarpus crosbyi (Burkill) Puttock,"('TON',)",
1433,Atractocarpus cucumicarpus,Atractocarpus cucumicarpus S.Moore,"('NWC',)",
1434,Atractocarpus decorus,Atractocarpus decorus (Valeton) Puttock,"('NWG',)",
1435,Atractocarpus deplanchei,Atractocarpus deplanchei (Vieill. ex Guillaumin) Mouly,"('NWC',)",
1436,Atractocarpus fitzalanii,Atractocarpus fitzalanii (F.Muell.) Puttock,"('QLD',)",
1437,Atractocarpus heterophyllus,Atractocarpus heterophyllus (Montrouz.) Guillaumin & Beauvis.,"('NWC',)",
1438,Atractocarpus hirtus,Atractocarpus hirtus (F.Muell.) Puttock,"('QLD',)",
1439,Atractocarpus longipes,Atractocarpus longipes (A.C.Sm.) Puttock,"('FIJ',)",
1440,Atractocarpus longistipitatus,Atractocarpus longistipitatus Guillaumin,"('NWC',)",
1441,Atractocarpus macarthurii,Atractocarpus macarthurii (F.Muell.) Puttock,"('BIS', 'NWG')",
1442,Atractocarpus merikin,Atractocarpus merikin (F.M.Bailey) Puttock,"('QLD',)",
1443,Atractocarpus mollis,Atractocarpus mollis (Schltr.) Mouly,"('NWC',)",
1444,Atractocarpus ngoyensis,Atractocarpus ngoyensis (Schltr.) Mouly,"('NWC',)",
1445,Atractocarpus nigricans,Atractocarpus nigricans (Schltr.) Mouly,"('NWC',)",
1446,Atractocarpus oblongus,Atractocarpus oblongus S.Moore,"('NWC',)",
1447,Atractocarpus obscurinervius,Atractocarpus obscurinervius (Merr.) Puttock,"('PHI',)",
1448,Atractocarpus pancherianus,Atractocarpus pancherianus (Guillaumin) Mouly,"('NWC',)",
1449,Atractocarpus pentagonioides,Atractocarpus pentagonioides (Seem.) Puttock,"('FIJ',)",
1450,Atractocarpus platixylon,Atractocarpus platixylon (Vieill. ex Pancher & Sebert) Guillaumin,"('NWC',)",
1451,Atractocarpus pseudoterminalis,Atractocarpus pseudoterminalis (Guillaumin) Mouly,"('NWC',)",
1452,Atractocarpus pterocarpon,Atractocarpus pterocarpon (Guillaumin) Puttock,"('NWC',)",
1453,Atractocarpus rotundifolius,Atractocarpus rotundifolius Guillaumin,"('NWC',)",
1454,Atractocarpus sessilis,Atractocarpus sessilis (F.Muell.) Puttock,"('NWG', 'QLD')",
1455,Atractocarpus sezitat,Atractocarpus sezitat (Guillaumin) Mouly,"('NWC', 'VAN')",
1456,Atractocarpus simulans,Atractocarpus simulans Guillaumin,"('NWC',)",
1457,Atractocarpus stipularis,Atractocarpus stipularis (F.Muell.) Puttock ex P.S.Green,"('NFK',)",
1458,Atractocarpus tahitiensis,Atractocarpus tahitiensis (Nadeaud) Puttock,"('SCI',)",
1459,Atractocarpus tenuiflorus,Atractocarpus tenuiflorus (A.C.Sm.) Puttock,"('FIJ',)",
1460,Atractocarpus vaginatus,Atractocarpus vaginatus Guillaumin,"('NWC',)",
1461,Atractocarpus versteegii,Atractocarpus versteegii (Valeton) Puttock,"('NWG',)",
1462,Atractogyne bracteata,Atractogyne bracteata (Wernham) Hutch. & Dalziel,"('CAB', 'CMN', 'GAB', 'GHA', 'IVO', 'LBR', 'NGA')",
1463,Atractogyne gabonii,Atractogyne gabonii Pierre,"('ANG', 'CAF', 'CMN', 'CON', 'GAB', 'ZAI')",
1464,Atrostemma acutissimum,Atrostemma acutissimum (Rusby) Morillo,"('CLM',)",
1465,Atrostemma costanense,Atrostemma costanense (Morillo) Morillo,"('VEN',)",
1466,Atrostemma glaberrimum,Atrostemma glaberrimum (Woodson) Morillo,"('GUA',)",
1467,Atrostemma hadrostemmum,Atrostemma hadrostemmum (W.D.Stevens) Morillo,"('COS', 'NIC')",
1468,Atrostemma hammelii,Atrostemma hammelii (W.D.Stevens) Morillo,"('COS',)",
1469,Atrostemma manarae,Atrostemma manarae (Morillo) Morillo,"('VEN',)",
1470,Atrostemma melinii,Atrostemma melinii (Malme) Morillo,"('PER',)",
1471,Atrostemma planiflorum,Atrostemma planiflorum (Jacq.) Morillo,"('CLM', 'GUY', 'VEN')",
1472,Atrostemma riparium,Atrostemma riparium (Morillo) Morillo,"('BZE', 'BZL', 'GUY')",
1473,Atrostemma xerophilum,Atrostemma xerophilum Morillo,"('CLM', 'VEN')",
1474,Augusta austrocaledonica,Augusta austrocaledonica (Brongn.) J.H.Kirkbr.,"('NWC',)",
1475,Augusta longifolia,Augusta longifolia (Spreng.) Rehder,"('BZC', 'BZE', 'BZL', 'BZN')",
1476,Augusta rivalis,Augusta rivalis (Benth.) J.H.Kirkbr.,"('BLZ', 'CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN')",
1477,Augusta vitiensis,Augusta vitiensis (Seem.) J.H.Kirkbr.,"('FIJ',)",
1478,Aulacocalyx camerooniana,Aulacocalyx camerooniana Sonké & S.E.Dawson,"('CMN',)",
1479,Aulacocalyx caudata,Aulacocalyx caudata (Hiern) Keay,"('CMN', 'EQG', 'GAB', 'NGA')",
1480,Aulacocalyx divergens,Aulacocalyx divergens (Hutch. & Dalziel) Keay,"('GHA', 'GUI', 'LBR', 'SIE')",
1481,Aulacocalyx jasminiflora,Aulacocalyx jasminiflora Hook.f.,"('ANG', 'CAF', 'CMN', 'CON', 'EQG', 'GAB', 'GHA', 'GUI', 'IVO', 'LBR', 'NGA', 'ZAI', 'ZAM')",
1482,Aulacocalyx lamprophylla,Aulacocalyx lamprophylla K.Krause,"('CMN',)",
1483,Aulacocalyx laxiflora,Aulacocalyx laxiflora E.M.A.Petit,"('TAN', 'ZAI', 'ZAM')",
1484,Aulacocalyx lujae,Aulacocalyx lujae De Wild.,"('CON', 'ZAI')",
1485,Aulacocalyx mapiana,Aulacocalyx mapiana Sonké & Bridson,"('CMN',)",
1486,Aulacocalyx pallens,Aulacocalyx pallens (Hiern) Bridson & Figueiredo,"('GAB', 'GGI', 'ZAI')",
1487,Aulacocalyx subulata,Aulacocalyx subulata (N.Hallé) Figueiredo,"('GAB',)",
1488,Aulacocalyx talbotii,Aulacocalyx talbotii (Wernham) Keay,"('CMN', 'CON', 'GAB', 'NGA')",
1489,Australluma peschii,Australluma peschii (Nel) Plowes,"('ANG', 'NAM')",
1490,Australluma ubomboensis,Australluma ubomboensis (I.Verd.) Bruyns,"('MOZ', 'NAT', 'SWZ', 'TVL', 'ZIM')",
1491,Austrochthamalia boliviana,Austrochthamalia boliviana Morillo & Fontella,"('BOL',)",
1492,Austrochthamalia purpurea,Austrochthamalia purpurea (Decne.) Morillo & Fontella,"('BOL', 'BZC', 'BZL')",
1493,Austrochthamalia teyucuarensis,Austrochthamalia teyucuarensis H.A.Keller,"('AGE',)",
1494,Badusa corymbifera,Badusa corymbifera (G.Forst.) A.Gray,"('FIJ', 'NWG', 'SCZ', 'SOL', 'TON', 'VAN')",
1495,Badusa palauensis,Badusa palauensis Valeton,"('CRL',)",
1496,Badusa palawanensis,Badusa palawanensis Ridsdale,"('PHI',)",
1497,Baharuia gracilis,Baharuia gracilis D.J.Middleton,"('BOR', 'SUM')",
1498,Bahiella blanchetii,Bahiella blanchetii (A.DC.) J.F.Morales,"('BZE',)",
1499,Bahiella infundibuliflora,Bahiella infundibuliflora J.F.Morales,"('BZE',)",
1500,Baissea atrobrunnea,Baissea atrobrunnea O.Lachenaud,"('GAB',)",
1501,Baissea axillaris,Baissea axillaris (Benth.) Hua,"('ANG', 'BEN', 'CAB', 'CAF', 'CMN', 'CON', 'GAB', 'NGA', 'ZAI')",
1502,Baissea baillonii,Baissea baillonii Hua,"('ANG', 'BEN', 'CMN', 'CON', 'GAB', 'GHA', 'GUI', 'IVO', 'LBR', 'NGA', 'TOG', 'ZAI')",
1503,Baissea calophylla,Baissea calophylla (K.Schum.) Stapf,"('CMN', 'GAB', 'GHA', 'IVO', 'LBR', 'NGA', 'SIE')",
1504,Baissea campanulata,Baissea campanulata (K.Schum.) de Kruif,"('ANG', 'CAB', 'CMN', 'CON', 'EQG', 'GAB', 'GHA', 'IVO', 'NGA', 'ZAI')",
1505,Baissea concinna,Baissea concinna Stapf ex Hutch. & Dalziel,"('IVO', 'LBR')",
1506,Baissea congensis,Baissea congensis (R.D.Good) Jongkind,"('CAB', 'GAB')",
1507,Baissea erythrosticta,Baissea erythrosticta K.Schum. ex Stapf,"('CMN', 'GAB')",
1508,Baissea floribunda,Baissea floribunda (K.Schum.) Hua,"('GAB',)",
1509,Baissea gracillima,Baissea gracillima (K.Schum.) Hua,"('ANG', 'CAB', 'CMN', 'CON', 'EQG', 'GAB', 'NGA', 'ZAI')",
1510,Baissea lane-poolei,Baissea lane-poolei Stapf,"('GUI', 'IVO', 'LBR', 'SIE')",
1511,Baissea laxiflora,Baissea laxiflora Stapf,"('ANG', 'CAB', 'CAF', 'CMN', 'CON', 'EQG', 'GAB', 'NGA', 'ZAI')",
1512,Baissea leonensis,Baissea leonensis Benth.,"('BEN', 'CAB', 'CAF', 'CMN', 'CON', 'EQG', 'GAB', 'GHA', 'GNB', 'GUI', 'IVO', 'LBR', 'NGA', 'SEN', 'SIE', 'UGA', 'ZAI')",
1513,Baissea leontonori,Baissea leontonori Dilst,"('BUR', 'UGA', 'ZAI')",
1514,Baissea major,Baissea major (Stapf) Hiern,"('ANG', 'CAF', 'CMN', 'KEN', 'TAN', 'UGA', 'ZAI')",
1515,Baissea multiflora,Baissea multiflora A.DC.,"('BKN', 'GAM', 'GHA', 'GNB', 'GUI', 'IVO', 'LBR', 'MLI', 'NGR', 'SEN', 'SIE')",
1516,Baissea myrtifolia,Baissea myrtifolia (Benth.) Pichon,"('ANG', 'CON', 'KEN', 'TAN', 'ZAI', 'ZAM')",
1517,Baissea ochrantha,Baissea ochrantha K.Schum. ex Stapf,"('CMN', 'EQG', 'GAB')",
1518,Baissea odorata,Baissea odorata K.Schum. ex Stapf,"('CMN', 'GAB', 'LBR', 'NGA', 'SIE')",
1519,Baissea subrufa,Baissea subrufa Stapf,"('CAF', 'CMN', 'CON', 'EQG', 'GAB', 'ZAI')",
1520,Baissea subsessilis,Baissea subsessilis (K.Schum.) Stapf,"('CMN', 'NGA')",
1521,Baissea viridiflora,Baissea viridiflora (K.Schum.) de Kruif,"('MLW', 'TAN', 'UGA', 'ZAI')",
1522,Baissea welwitschii,Baissea welwitschii (Baill.) Stapf ex Hiern,"('ANG', 'CAF', 'CMN', 'GAB', 'GUI', 'ZAI')",
1523,Baissea wulfhorstii,Baissea wulfhorstii Schinz,"('ANG', 'BOT', 'CPV', 'NAM', 'ZAM')",
1524,Baissea zygodioides,Baissea zygodioides (K.Schum.) Stapf,"('GHA', 'GUI', 'IVO', 'LBR', 'SEN', 'SIE')",
1525,Ballyanthus major,Ballyanthus major Plowes,"('SOM',)",
1526,Ballyanthus prognathus,Ballyanthus prognathus (P.R.O.Bally) Bruyns,"('SOM',)",
1527,Balmea stormiae,Balmea stormiae Martínez,"('ELS', 'GUA', 'MXC', 'MXG', 'MXS', 'MXT')",
1528,Barjonia chlorifolia,Barjonia chlorifolia Decne.,"('BOL', 'BZE', 'BZL')",
1529,Barjonia cymosa,Barjonia cymosa E.Fourn.,"('BOL', 'BZC', 'BZN')",
1530,Barjonia erecta,Barjonia erecta (Vell.) K.Schum.,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'SUR')",
1531,Barjonia furlanii,Barjonia furlanii Farinaccio,"('BZL',)",
1532,Barjonia glazioui,Barjonia glazioui Marquete,"('BZC', 'BZE')",
1533,Barjonia grazielae,Barjonia grazielae Fontella & Marquete,"('BZC',)",
1534,Barjonia laxa,Barjonia laxa Malme,"('BOL', 'BZC', 'BZL')",
1535,Baroniella acuminata,Baroniella acuminata (Choux) Bullock,"('MDG',)",
1536,Baroniella camptocarpoides,Baroniella camptocarpoides Costantin & Gallaud,"('MDG',)",
1537,Baroniella capillacea,Baroniella capillacea Klack.,"('MDG',)",
1538,Baroniella collaris,Baroniella collaris Klack.,"('MDG',)",
1539,Baroniella effusa,Baroniella effusa Klack.,"('MDG',)",
1540,Baroniella ensifolia,Baroniella ensifolia Klack.,"('MDG',)",
1541,Baroniella linearifolia,Baroniella linearifolia Klack.,"('MDG',)",
1542,Baroniella linearis,Baroniella linearis (Choux) Bullock,"('MDG',)",
1543,Baroniella longicornis,Baroniella longicornis Klack.,"('MDG',)",
1544,Baroniella multiflora,Baroniella multiflora (Choux) Bullock,"('MDG',)",
1545,Bartonia paniculata,Bartonia paniculata (Michx.) Muhl.,"('ALA', 'ARK', 'CNT', 'DEL', 'FLA', 'GEO', 'ILL', 'KTY', 'LOU', 'MAI', 'MAS', 'MIC', 'MRY', 'MSI', 'MSO', 'NBR', 'NCA', 'NFL', 'NSC', 'NWH', 'NWJ', 'NWY', 'OKL', 'ONT', 'PEN', 'RHO', 'SCA', 'TEN', 'TEX', 'VRG', 'WDC', 'WIS', 'WVA')",
1546,Bartonia verna,Bartonia verna (Michx.) Raf. ex Barton,"('ALA', 'FLA', 'GEO', 'LOU', 'MSI', 'NCA', 'SCA', 'TEX', 'VRG')",
1547,Bartonia virginica,"Bartonia virginica (L.) Britton, Sterns & Poggenb.","('ALA', 'CNT', 'DEL', 'FLA', 'GEO', 'ILL', 'INI', 'KTY', 'LOU', 'MAI', 'MAS', 'MIC', 'MIN', 'MRY', 'MSI', 'MSO', 'NBR', 'NCA', 'NFL', 'NSC', 'NWH', 'NWJ', 'NWY', 'OHI', 'ONT', 'PEN', 'QUE', 'RHO', 'SCA', 'TEN', 'VER', 'VRG', 'WDC', 'WIS', 'WVA')",
1548,Baseonema gregorii,Baseonema gregorii Schltr. & Rendle,"('KEN', 'TAN')",
1549,Batesanthus parviflorus,Batesanthus parviflorus Norman,"('ANG', 'CMN', 'SIE')",
1550,Batesanthus pseudopalpus,Batesanthus pseudopalpus Venter & R.L.Verh.,"('CON', 'GAB')",
1551,Batesanthus purpureus,Batesanthus purpureus N.E.Br.,"('CAF', 'CMN', 'GAB', 'GUI', 'IVO', 'LBR', 'NGA', 'ZAI')",
1552,Bathysa australis,Bathysa australis (A.St.-Hil.) K.Schum.,"('BOL', 'BZC', 'BZE', 'BZL', 'BZS')",
1553,Bathysa bathysoides,Bathysa bathysoides (Steyerm.) Delprete,"('BOL', 'BZN', 'CLM', 'PER', 'VEN')",
1554,Bathysa gymnocarpa,Bathysa gymnocarpa K.Schum.,"('BZL',)",
1555,Bathysa mendoncae,Bathysa mendoncae K.Schum.,"('BZE', 'BZL')",
1556,Bathysa multiflora,Bathysa multiflora L.O.Williams,"('PER',)",
1557,Bathysa nicholsonii,Bathysa nicholsonii K.Schum.,"('BZL',)",
1558,Bathysa perijaensis,Bathysa perijaensis (Steyerm.) Delprete,"('VEN',)",
1559,Bathysa pittieri,Bathysa pittieri (Standl.) Steyerm.,"('VEN',)",
1560,Bathysa stipulata,Bathysa stipulata (Vell.) C.Presl,"('BZL',)",
1561,Bathysa sylvestrae,Bathysa sylvestrae P.Germano & M.Gomes,"('BZL',)",
1562,Batopedina linearifolia,Batopedina linearifolia (Bremek.) Verdc.,"('ZAI', 'ZAM')",
1563,Batopedina pulvinellata,Batopedina pulvinellata Robbr.,"('ZAI',)",
1564,Batopedina tenuis,Batopedina tenuis (A.Chev. ex Hutch. & Dalziel) Verdc.,"('BKN', 'GHA')",
1565,Baynesia lophophora,Baynesia lophophora Bruyns,"('NAM',)",
1566,Beaumontia brevituba,Beaumontia brevituba Oliv.,"('CHH', 'CHS')",
1567,Beaumontia grandiflora,Beaumontia grandiflora Wall.,"('ASS', 'BAN', 'CHC', 'CHS', 'EHM', 'IND', 'LAO', 'MYA', 'NEP', 'THA', 'VIE')","('COS', 'ELS', 'GUA', 'HON')"
1568,Beaumontia jerdoniana,Beaumontia jerdoniana Wight,"('AND', 'IND', 'MYA')",
1569,Beaumontia khasiana,Beaumontia khasiana Hook.f.,"('ASS', 'BAN', 'CHC', 'MYA')",
1570,Beaumontia longituba,Beaumontia longituba Craib,"('ASS',)",
1571,Beaumontia macrantha,Beaumontia macrantha (Ridl.) Rudjiman,"('MYA', 'THA')",
1572,Beaumontia multiflora,Beaumontia multiflora Teijsm. & Binn.,"('JAW', 'LSI', 'MLY', 'SUM')","('HAW', 'THA')"
1573,Beaumontia murtonii,Beaumontia murtonii Craib,"('CBD', 'CHC', 'LAO', 'MLY', 'THA', 'VIE')",
1574,Beaumontia pitardii,Beaumontia pitardii Tsiang,"('CHC', 'CHS', 'VIE')",
1575,Belonophora coffeoides,Belonophora coffeoides Hook.f.,"('ANG', 'BEN', 'CAF', 'CHA', 'CMN', 'CON', 'GAB', 'GGI', 'GHA', 'GUI', 'IVO', 'LBR', 'NGA', 'SIE', 'SUD', 'TAN', 'TOG', 'UGA', 'ZAI', 'ZAM')",
1576,Belonophora coriacea,Belonophora coriacea Hoyle,"('CAF', 'CMN', 'CON', 'GAB', 'NGA', 'ZAI')",
1577,Belonophora ongensis,Belonophora ongensis S.E.Dawson & Cheek,"('CMN', 'GAB')",
1578,Belonophora talbotii,Belonophora talbotii (Wernham) Keay,"('CMN', 'GAB', 'NGA')",
1579,Belonophora wernhamii,Belonophora wernhamii Hutch. & Dalziel,"('CMN', 'NGA')",
1580,Benkara armigera,Benkara armigera (K.Schum.) Ridsdale,"('CBD', 'LAO', 'MLY', 'THA', 'VIE')",
1581,Benkara depauperata,Benkara depauperata (Drake) Ridsdale,"('CHH', 'CHS', 'VIE')",
1582,Benkara emanuelssoniana,Benkara emanuelssoniana (Ridsdale) Ridsdale,"('PHI',)",
1583,Benkara esculenta,Benkara esculenta (Lour.) Ridsdale,"('VIE',)",
1584,Benkara evenosa,Benkara evenosa (Hutch.) Ridsdale,"('CHC',)",
1585,Benkara fasciculata,Benkara fasciculata (Roxb.) Ridsdale,"('AND', 'ASS', 'BAN', 'CBD', 'EHM', 'MLY', 'NEP', 'PHI', 'VIE')",
1586,Benkara forrestii,Benkara forrestii (J.Anthony) Ridsdale,"('CHC', 'THA')",
1587,Benkara griffithii,Benkara griffithii (Hook.f.) Ridsdale,"('ASS', 'CHC', 'EHM')",
1588,Benkara hainanensis,Benkara hainanensis (Merr.) C.M.Taylor,"('CHH',)",
1589,Benkara hoaensis,Benkara hoaensis (Pierre ex Pit.) Ridsdale,"('VIE',)",
1590,Benkara malabarica,Benkara malabarica (Lam.) Tirveng.,"('IND', 'SRL')","('BAN',)"
1591,Benkara microcarpa,Benkara microcarpa (Bartl. ex DC.) Ridsdale,"('PHI',)",
1592,Benkara miquelii,Benkara miquelii (Koord. & Valeton) Ridsdale,"('JAW',)",
1593,Benkara ovoidea,Benkara ovoidea (Pierre ex Pit.) Ridsdale,"('CBD', 'LAO', 'THA', 'VIE')",
1594,Benkara parviflora,Benkara parviflora (King & Gamble) Ridsdale,"('MLY',)",
1595,Benkara pierrei,Benkara pierrei (Pit.) Ridsdale,"('THA', 'VIE')",
1596,Benkara rectispina,Benkara rectispina (Merr.) Ridsdale,"('CHH',)",
1597,Benkara scandens,Benkara scandens (Thunb.) Ridsdale,"('CHC', 'CHH', 'CHS', 'PHI', 'VIE')",
1598,Benkara sinensis,Benkara sinensis (Lour.) Ridsdale,"('CHC', 'CHH', 'CHS', 'NNS', 'TAI', 'THA', 'VIE')",
1599,Benzonia corymbosa,Benzonia corymbosa Schumach.,"('GHA',)",
1600,Berghesia coccinea,Berghesia coccinea Nees,"('MXE',)",
1601,Bertiera adamsii,Bertiera adamsii (Hepper) N.Hallé,"('ANG', 'CAF', 'CMN', 'CON', 'EQG', 'GAB', 'GHA', 'NGA', 'ZAI')",
1602,Bertiera aequatorialis,Bertiera aequatorialis N.Hallé,"('CAB', 'CMN', 'CON', 'EQG', 'GAB', 'ZAI')",
1603,Bertiera aethiopica,Bertiera aethiopica Hiern,"('ANG', 'CAB', 'CAF', 'CMN', 'CON', 'GAB', 'ZAI')",
1604,Bertiera angusiana,Bertiera angusiana N.Hallé,"('ANG', 'ZAI', 'ZAM')",
1605,Bertiera angustifolia,Bertiera angustifolia Benth.,"('CLM', 'COS', 'CPI', 'ECU', 'NIC', 'PAN', 'PER', 'VEN')",
1606,Bertiera annobonensis,Bertiera annobonensis G.Taylor,"('GGI',)",
1607,Bertiera arctistipula,Bertiera arctistipula N.Hallé,"('CMN', 'GAB')",
1608,Bertiera batesii,Bertiera batesii Wernham,"('CAB', 'CMN', 'CON', 'EQG', 'GAB', 'ZAI')",
1609,Bertiera bicarpellata,Bertiera bicarpellata (K.Schum.) N.Hallé,"('CAF', 'CMN', 'CON', 'EQG', 'GAB', 'ZAI')",
1610,Bertiera bistipulata,Bertiera bistipulata Bojer ex Wernham,"('MAU',)",
1611,Bertiera borbonica,Bertiera borbonica A.Rich. ex DC.,"('REU',)",
1612,Bertiera bracteolata,Bertiera bracteolata Hiern,"('CMN', 'EQG', 'GAB', 'GHA', 'GUI', 'IVO', 'LBR', 'NGA', 'SIE', 'ZAI')",
1613,Bertiera bracteosa,Bertiera bracteosa (Donn.Sm.) B.Ståhl & L.Andersson,"('BZN', 'CLM', 'COS', 'ECU', 'NIC', 'PAN')",
1614,Bertiera breviflora,Bertiera breviflora Hiern,"('CAB', 'CMN', 'CON', 'EQG', 'GAB', 'GGI', 'GHA', 'GUI', 'IVO', 'LBR', 'NGA', 'SIE', 'ZAI')",
1615,Bertiera brevithyrsa,Bertiera brevithyrsa A.P.Davis,"('MDG',)",
1616,Bertiera chevalieri,Bertiera chevalieri Hutch. & Dalziel,"('CMN', 'GUI', 'IVO', 'LBR')",
