,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,native_tdwg3_codes,intro_tdwg3_codes
150,77195139-1,Canthiumera,Canthiumera K.M.Wong & Mahyuni,Rubiaceae,Genus,,,,,533628,77195139-1,Genus,Accepted,Rubiaceae,,Canthiumera,,,,,,K.M.Wong & Mahyuni,,Reinwardtia, 17: 107,(2018),,Indian Subcontinent to W. & S. Malesia,,,Canthiumera,K.M.Wong & Mahyuni,533628,,,,,77195139-1,,Y,,,,"('AND', 'ASS', 'BAN', 'BOR', 'CBD', 'EHM', 'IND', 'JAW', 'LSI', 'MLY', 'MYA', 'NCB', 'SUM', 'THA', 'VIE')",
151,34292-1,Capirona,Capirona Spruce,Rubiaceae,Genus,,,,,34021,34292-1,Genus,Accepted,Rubiaceae,,Capirona,,,,,,Spruce,,"J. Proc. Linn. Soc., Bot.", 3: 200,(1859),,S. Trop. America,,,Capirona,Spruce,34021,,,,,34292-1,,Y,,,,"('BOL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')",
152,77146978-1,Carajasia,"Carajasia R.M.Salas, E.L.Cabral & Dessein",Rubiaceae,Genus,,,,,496403,77146978-1,Genus,Accepted,Rubiaceae,,Carajasia,,,,,,"R.M.Salas, E.L.Cabral & Dessein",,Phytotaxa, 206: 16,(2015),,N. Brazil,,,Carajasia,"R.M.Salas, E.L.Cabral & Dessein",496403,,,,,77146978-1,,Y,,,,"('BZN',)",
153,30343894-2,Caralluma,Caralluma R.Br.,Apocynaceae,Genus,,,,,502128,30343894-2,Genus,Accepted,Apocynaceae,,Caralluma,,,,,,R.Br.,,Asclepiadeae,: 14,(1810),,"Trop. Africa, Arabian Pen., India, Sri Lanka, Myanmar",,,Caralluma,R.Br.,502128,,,,,30343894-2,,Y,,,,"('BEN', 'BKN', 'DJI', 'EQG', 'ERI', 'ETH', 'GHA', 'IND', 'KEN', 'MLI', 'MTN', 'MYA', 'NGA', 'NGR', 'SAU', 'SEN', 'SOM', 'SRL', 'SUD', 'TAN', 'UGA', 'YEM')",
154,30206104-2,Carapichea,Carapichea Aubl.,Rubiaceae,Genus,,,,,34078,30206104-2,Genus,Accepted,Rubiaceae,,Carapichea,,,,,,Aubl.,,Hist. Pl. Guiane,: 167,(1775),,Nicaragua to S. Trop. America,,,Carapichea,Aubl.,34078,,,,,30206104-2,,Y,,,,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'FRG', 'GUY', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')","('CRL',)"
155,2243-1,Carissa,Carissa L.,Apocynaceae,Genus,,,,,34128,2243-1,Genus,Accepted,Apocynaceae,,Carissa,,,,,,L.,,Mant. Pl., 1: 7,(1767),", nom. cons.","Africa to Indo-China, Australia to New Caledonia",,,Carissa,L.,34128,,,,,2243-1,,Y,,,,"('ALD', 'AND', 'ANG', 'ASS', 'BAN', 'BEN', 'BKN', 'BOT', 'BUR', 'CAF', 'CBD', 'CHA', 'CHC', 'CMN', 'COM', 'CON', 'CPP', 'CPV', 'CVI', 'DJI', 'EGY', 'EHM', 'ERI', 'ETH', 'GHA', 'GNB', 'GUI', 'IND', 'IVO', 'KEN', 'LAO', 'MAU', 'MDG', 'MLI', 'MLW', 'MOZ', 'MYA', 'NAM', 'NAT', 'NCB', 'NEP', 'NGA', 'NSW', 'NTA', 'NWC', 'NWG', 'OFS', 'OMA', 'PAK', 'QLD', 'REU', 'ROD', 'RWA', 'SAU', 'SEN', 'SEY', 'SOC', 'SOM', 'SRL', 'SUD', 'SWZ', 'TAN', 'THA', 'TOG', 'TVL', 'UGA', 'VIE', 'WAU', 'WHM', 'YEM', 'ZAI', 'ZAM', 'ZIM')","('ARI', 'ASC', 'BAH', 'CHH', 'CHS', 'CRL', 'ELS', 'FLA', 'HAW', 'HON', 'JAM', 'JAW', 'LEE', 'LSI', 'MLY', 'MRN', 'MXC', 'MXS', 'NIC', 'PHI', 'PUE', 'TAI', 'TEX', 'TRT', 'WIN')"
156,34299-1,Carpacoce,Carpacoce Sond.,Rubiaceae,Genus,,,,,34247,34299-1,Genus,Accepted,Rubiaceae,,Carpacoce,,,,,,Sond.,W.H.Harvey & auct. suc. (eds.),Fl. Cap., 3: 32,(1865),,Cape Prov.,,,Carpacoce,Sond.,34247,,,,,34299-1,,Y,,,,"('CPP',)",
157,34300-1,Carphalea,Carphalea Juss.,Rubiaceae,Genus,,,,,34263,34300-1,Genus,Accepted,Rubiaceae,,Carphalea,,,,,,Juss.,,Gen. Pl.,: 198,(1789),,Madagascar,,,Carphalea,Juss.,34263,,,,,34300-1,,Y,,,,"('MDG',)",
158,2248-1,Carruthersia,Carruthersia Seem.,Apocynaceae,Genus,,,,,34560,2248-1,Genus,Accepted,Apocynaceae,,Carruthersia,,,,,,Seem.,,Fl. Vit.,: 155,(1866),,"Philippines, Solomon Is. to SW. Pacific",,,Carruthersia,Seem.,34560,,,,,2248-1,,Y,,,,"('FIJ', 'PHI', 'SOL', 'TON')",
159,30219602-2,Carterella,Carterella Terrell,Rubiaceae,Genus,,,,,34575,30219602-2,Genus,Accepted,Rubiaceae,,Carterella,,,,,,Terrell,,Brittonia, 39: 250,(1987),,NW. Mexico,,,Carterella,Terrell,34575,,,,,30219602-2,,Y,,,,"('MXN',)",
160,2249-1,Carvalhoa,Carvalhoa K.Schum.,Apocynaceae,Genus,,,,,34617,2249-1,Genus,Accepted,Apocynaceae,,Carvalhoa,,,,,,K.Schum.,H.G.A.Engler & K.A.E.Prantl,Nat. Pflanzenfam., 4(2): 189,(1895),,E. & S. Trop. Africa,,,Carvalhoa,K.Schum.,34617,,,,,2249-1,,Y,,,,"('KEN', 'MLW', 'MOZ', 'TAN', 'ZAM')",
161,34304-1,Casasia,Casasia A.Rich.,Rubiaceae,Genus,,,,,34812,34304-1,Genus,Accepted,Rubiaceae,,Casasia,,,,,,A.Rich.,R.de la Sagra,"Hist. Fis. Cuba, Bot.", 11: 9,(1850),,S. Florida to N. Caribbean,,,Casasia,A.Rich.,34812,,,,,34304-1,,Y,,,,"('BAH', 'BER', 'CUB', 'DOM', 'FLA', 'HAI', 'JAM', 'TCI')",
162,2250-1,Cascabela,Cascabela Raf.,Apocynaceae,Genus,,,,,34830,2250-1,Genus,Accepted,Apocynaceae,,Cascabela,,,,,,Raf.,,Sylva Tellur.,: 162,(1838),,Mexico to S. Trop. America,,,Cascabela,Raf.,34830,,,,,2250-1,,Y,,,,"('AGE', 'BLZ', 'BOL', 'BZC', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'VEN')","('ANG', 'ASS', 'BAH', 'BAN', 'BER', 'CAY', 'CBD', 'CHA', 'CHC', 'CHH', 'CHS', 'CNY', 'COM', 'COO', 'CRL', 'CUB', 'DOM', 'EAI', 'FIJ', 'GAM', 'GGI', 'HAI', 'HAW', 'IND', 'JAM', 'LEE', 'MRN', 'MRQ', 'MRS', 'NEP', 'PUE', 'SAM', 'SCI', 'SEN', 'TAI', 'TRT', 'TUA', 'VAN', 'VNA', 'WIN')"
163,30059171-2,Catesbaea,Catesbaea L.,Rubiaceae,Genus,,,,,35678,30059171-2,Genus,Accepted,Rubiaceae,,Catesbaea,,,,,,L.,,Sp. Pl.,: 109,(1753),,Florida Keys to Caribbean,,,Catesbaea,L.,35678,,,,,30059171-2,,Y,,,,"('BAH', 'CAY', 'CUB', 'DOM', 'FLA', 'HAI', 'JAM', 'LEE', 'PUE', 'TCI')",
164,2251-1,Catharanthus,Catharanthus G.Don,Apocynaceae,Genus,,,,,35711,2251-1,Genus,Accepted,Apocynaceae,,Catharanthus,,,,,,G.Don,,Gen. Hist., 4: 95,(1837),,"Madagascar, Indian Subcontinent",,,Catharanthus,G.Don,35711,,,,,2251-1,,Y,,,,"('IND', 'MDG', 'NEP', 'SRL', 'WHM')","('AGE', 'ALA', 'ALD', 'AND', 'ANG', 'ARU', 'ASC', 'ASS', 'BAH', 'BAN', 'BEN', 'BKN', 'BLZ', 'BOR', 'CAL', 'CAY', 'CBD', 'CGS', 'CHA', 'CHC', 'CHS', 'CMN', 'CNY', 'COM', 'COO', 'COS', 'CPI', 'CPP', 'CRL', 'CUB', 'CYP', 'DJI', 'DOM', 'EAS', 'EHM', 'ELS', 'ERI', 'ETH', 'FIJ', 'FLA', 'FRG', 'GAB', 'GAL', 'GAM', 'GGI', 'GIL', 'GUA', 'GUI', 'HAI', 'HAW', 'HON', 'ITA', 'IVO', 'JAM', 'JAW', 'KEN', 'KER', 'KRI', 'KZN', 'LDV', 'LEE', 'LSI', 'MAU', 'MCI', 'MDR', 'MDV', 'MLY', 'MOZ', 'MRN', 'MRQ', 'MRS', 'MXS', 'MXT', 'MYA', 'NCB', 'NIC', 'NLA', 'NRU', 'NUE', 'NWC', 'NWG', 'OGA', 'PAN', 'PHI', 'PHX', 'PUE', 'QLD', 'REU', 'ROD', 'SAM', 'SCI', 'SCS', 'SEN', 'SEY', 'SIE', 'STH', 'SUM', 'SWC', 'TAI', 'TAN', 'TCI', 'THA', 'TOG', 'TOK', 'TON', 'TRT', 'TUA', 'TUB', 'TUN', 'UGA', 'VAN', 'VIE', 'WAK', 'WIN', 'XMS', 'ZAI')"
165,34310-1,Catunaregam,Catunaregam Wolf,Rubiaceae,Genus,,,,,36198,34310-1,Genus,Accepted,Rubiaceae,,Catunaregam,,,,,,Wolf,,Gen. Pl.,: 75,(1776),,"Trop. & S. Africa, Trop. & Subtrop. Asia",,,Catunaregam,Wolf,36198,,,,,34310-1,,Y,,,,"('ASS', 'BAN', 'CAF', 'CBD', 'CHA', 'CHC', 'CHH', 'CHS', 'CMN', 'EHM', 'ERI', 'ETH', 'GUI', 'IND', 'JAW', 'KEN', 'LAO', 'MLW', 'MLY', 'MOZ', 'MYA', 'NAT', 'NEP', 'NGA', 'PAK', 'SOM', 'SRL', 'SUD', 'SWZ', 'TAI', 'TAN', 'THA', 'TVL', 'UGA', 'VIE', 'WHM', 'ZAI', 'ZAM', 'ZIM')",
166,986774-1,Caudanthera,Caudanthera Plowes,Apocynaceae,Genus,,,,,502449,986774-1,Genus,Accepted,Apocynaceae,,Caudanthera,,,,,,Plowes,,Haseltonia, 3: 58,(1995),,Niger to Israel and NW. India,,,Caudanthera,Plowes,502449,,,,,986774-1,,Y,,,,"('AFG', 'DJI', 'ERI', 'ETH', 'IND', 'IRN', 'NGR', 'OMA', 'PAK', 'PAL', 'SAU', 'SIN', 'SOM', 'SUD', 'YEM')",
167,1003353-1,Celiantha,Celiantha Maguire,Gentianaceae,Genus,,,,,2707771,1003353-1,Genus,Accepted,Gentianaceae,,Celiantha,,,,,,Maguire,,Mem. New York Bot. Gard., 32: 382,(1981),,Guyana Highlands,,,Celiantha,Maguire,2707771,,,,,1003353-1,,N,,,,"('BZN', 'GUY', 'VEN')",
168,30015106-2,Centaurium,Centaurium Hill,Gentianaceae,Genus,,,,,2708575,30015106-2,Genus,Accepted,Gentianaceae,,Centaurium,,,,,,Hill,,Brit. Herb.,: 62,(1756),,"Temp. Eurasia, NW. Mexico, Peru to S. South America",,,Centaurium,Hill,2708575,,,,,30015106-2,,N,,,,"('AFG', 'AGS', 'ALB', 'ALG', 'ALT', 'AUT', 'AZO', 'BAL', 'BAN', 'BGM', 'BLR', 'BLT', 'BUL', 'CHA', 'CHH', 'CHI', 'CHM', 'CHN', 'CHQ', 'CHS', 'CHX', 'CLC', 'CLN', 'CLS', 'CNY', 'COR', 'CVI', 'CYP', 'CZE', 'DEN', 'DJI', 'EAI', 'EGY', 'ERI', 'ETH', 'FIN', 'FRA', 'GER', 'GRB', 'GRC', 'GST', 'HUN', 'IND', 'IRE', 'IRN', 'IRQ', 'ITA', 'KAZ', 'KGZ', 'KRI', 'KRY', 'LBS', 'LBY', 'MDR', 'MLI', 'MON', 'MOR', 'MTN', 'MXI', 'MXN', 'NCS', 'NEP', 'NET', 'NGR', 'NOR', 'OMA', 'PAK', 'PAL', 'PER', 'POL', 'POR', 'ROM', 'RUC', 'RUE', 'RUN', 'RUS', 'RUW', 'SAR', 'SAU', 'SEN', 'SIC', 'SIN', 'SOC', 'SOM', 'SPA', 'SWE', 'SWI', 'TAI', 'TCS', 'TKM', 'TUE', 'TUN', 'TUR', 'TZK', 'UKR', 'UZB', 'VIE', 'WHM', 'WSA', 'WSB', 'YEM', 'YUG')","('AGE', 'AGW', 'ALA', 'BER', 'BRC', 'BZL', 'BZS', 'CAL', 'CNT', 'COL', 'COS', 'DEL', 'ECU', 'FAL', 'GEO', 'HAW', 'IDA', 'ILL', 'INI', 'IOW', 'JAM', 'JNF', 'LEE', 'LOU', 'MAI', 'MAS', 'MAU', 'MIC', 'MIN', 'MNT', 'MRY', 'MSI', 'NBR', 'NCA', 'NEB', 'NFK', 'NFL', 'NSC', 'NSW', 'NTA', 'NWJ', 'NWY', 'NZN', 'NZS', 'OHI', 'ONT', 'ORE', 'PEN', 'PRM', 'QLD', 'QUE', 'REU', 'RHO', 'SDA', 'SOA', 'TAS', 'TEX', 'URU', 'VER', 'VIC', 'VRG', 'WAS', 'WAU', 'WIN', 'WIS', 'WVA', 'WYO')"
169,34312-1,Cephalanthus,Cephalanthus L.,Rubiaceae,Genus,,,,,36697,34312-1,Genus,Accepted,Rubiaceae,,Cephalanthus,,,,,,L.,,Sp. Pl.,: 95,(1753),,"Tanzania to S. Africa, India to Taiwan, America",,,Cephalanthus,L.,36697,,,,,34312-1,,Y,,,,"('AGE', 'ALA', 'ARI', 'ARK', 'ASS', 'BAN', 'BLZ', 'BZC', 'BZL', 'BZS', 'CAL', 'CBD', 'CHC', 'CHH', 'CHS', 'CNT', 'CUB', 'EHM', 'FLA', 'GEO', 'GUA', 'HON', 'ILL', 'IND', 'INI', 'KTY', 'LAO', 'LES', 'LOU', 'MAI', 'MAS', 'MIN', 'MLW', 'MOZ', 'MRY', 'MSO', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'MYA', 'NAT', 'NBR', 'NCA', 'NEB', 'NEP', 'NWH', 'NWJ', 'NWM', 'NWY', 'OKL', 'ONT', 'PAR', 'PEN', 'QUE', 'RHO', 'SCA', 'SWZ', 'TAI', 'TAN', 'TEN', 'TEX', 'THA', 'TVL', 'URU', 'UTA', 'VER', 'VIE', 'VRG', 'WIS', 'ZAM')",
170,34318-1,Ceratopyxis,Ceratopyxis Hook.f.,Rubiaceae,Genus,,,,,36971,34318-1,Genus,Accepted,Rubiaceae,,Ceratopyxis,,,,,,Hook.f.,,Hooker's Icon. Pl., 12: 24,(1872),,Cuba,,,Ceratopyxis,Hook.f.,36971,,,,,34318-1,,Y,,,,"('CUB',)",
171,60436653-2,Cerbera,Cerbera L.,Apocynaceae,Genus,,,,,37142,60436653-2,Genus,Accepted,Apocynaceae,,Cerbera,,,,,,L.,,Sp. Pl.,: 208,(1753),", nom. cons.","Tanzania (Pemba), W. Indian Ocean to W. Pacific",,,Cerbera,L.,37142,,,,,60436653-2,,Y,,,,"('AND', 'BAN', 'BIS', 'BOR', 'CBD', 'CHH', 'CHS', 'COM', 'COO', 'CRL', 'FIJ', 'GIL', 'IND', 'JAW', 'LAO', 'LSI', 'MAU', 'MDG', 'MLY', 'MOL', 'MRN', 'MRQ', 'MRS', 'MYA', 'NCB', 'NNS', 'NRU', 'NTA', 'NWC', 'NWG', 'PHI', 'PIT', 'QLD', 'SAM', 'SCI', 'SCS', 'SCZ', 'SEY', 'SOL', 'SRL', 'SUL', 'SUM', 'TAI', 'TAN', 'THA', 'TON', 'TUA', 'TUB', 'VAN', 'VIE', 'WAL', 'XMS')","('CGS', 'TRT')"
172,2253-1,Cerberiopsis,Cerberiopsis Vieill. ex Pancher & Sebert,Apocynaceae,Genus,,,,,37193,2253-1,Genus,Accepted,Apocynaceae,,Cerberiopsis,,,,,,Vieill. ex Pancher & Sebert,,Rev. Marit. Colon., 40: 573,(1874),,New Caledonia,,,Cerberiopsis,Vieill. ex Pancher & Sebert,37193,,,,,2253-1,,Y,,,,"('NWC',)",
173,1123761-2,Ceriscoides,Ceriscoides (Hook.f.) Tirveng.,Rubiaceae,Genus,,,,,37232,1123761-2,Genus,Accepted,Rubiaceae,,Ceriscoides,,,,,Hook.f.,Tirveng.,,"Bull. Mus. Natl. Hist. Nat., Sér. 3, Bot.", 35: 13,(1978),,Hainan to Trop. Asia,,,Ceriscoides,(Hook.f.) Tirveng.,37232,,,,,1123761-2,,Y,,,,"('AND', 'ASS', 'BAN', 'BOR', 'CBD', 'CHH', 'EHM', 'IND', 'JAW', 'LAO', 'MLY', 'MYA', 'PHI', 'SRL', 'SUL', 'THA', 'VIE', 'WHM')",
174,328162-2,Ceropegia,Ceropegia L.,Apocynaceae,Genus,,,,,502468,328162-2,Genus,Accepted,Apocynaceae,,Ceropegia,,,,,,L.,,Sp. Pl.,: 211,(1753),,Africa to NE. Australia,,,Ceropegia,L.,502468,,,,,328162-2,,Y,,,,"('AND', 'ANG', 'ASS', 'BAN', 'BEN', 'BKN', 'BOR', 'BOT', 'BUR', 'CAF', 'CBD', 'CHA', 'CHC', 'CHH', 'CHS', 'CHT', 'CMN', 'CNY', 'COM', 'CON', 'CPP', 'CPV', 'EHM', 'EQG', 'ERI', 'ETH', 'GAB', 'GAM', 'GHA', 'GNB', 'GUI', 'IND', 'IVO', 'JAW', 'KEN', 'LAO', 'LBR', 'LES', 'LSI', 'MDG', 'MLI', 'MLW', 'MLY', 'MOL', 'MOZ', 'MYA', 'NAM', 'NAT', 'NEP', 'NGA', 'NGR', 'NTA', 'NWG', 'OFS', 'OMA', 'PAK', 'PHI', 'QLD', 'RWA', 'SAU', 'SEN', 'SIE', 'SOC', 'SOM', 'SRL', 'SUD', 'SUL', 'SWZ', 'TAN', 'THA', 'TOG', 'TVL', 'UGA', 'VIE', 'WAU', 'WHM', 'YEM', 'ZAI', 'ZAM', 'ZIM')","('BIS', 'SCI')"
175,34324-1,Chaetostachydium,Chaetostachydium Airy Shaw,Rubiaceae,Genus,,,,,37371,34324-1,Genus,Accepted,Rubiaceae,,Chaetostachydium,,,,,,Airy Shaw,,Kew Bull., 18: 271,(1965),,New Guinea,,,Chaetostachydium,Airy Shaw,37371,37376,Valeton,,,34324-1,,Y,,,,"('NWG',)",
176,34327-1,Chalepophyllum,Chalepophyllum Hook.f.,Rubiaceae,Genus,,,,,37387,34327-1,Genus,Accepted,Rubiaceae,,Chalepophyllum,,,,,,Hook.f.,,Hooker's Icon. Pl., 12: t. 1148,(1873),,N. South America,,,Chalepophyllum,Hook.f.,37387,,,,,34327-1,,Y,,,,"('BZN', 'GUY', 'VEN')",
177,2257-1,Chamaeclitandra,Chamaeclitandra (Stapf) Pichon,Apocynaceae,Genus,,,,,37464,2257-1,Genus,Accepted,Apocynaceae,,Chamaeclitandra,,,,,Stapf,Pichon,,Mém. Inst. Franç. Afrique Noire, 35: 202,(1953),,C. Trop. Africa,,,Chamaeclitandra,(Stapf) Pichon,37464,,,,,2257-1,,Y,,,,"('ANG', 'ZAI', 'ZAM')","('TRT',)"
178,34330-1,Chamaepentas,Chamaepentas Bremek.,Rubiaceae,Genus,,,,,37728,34330-1,Genus,Accepted,Rubiaceae,,Chamaepentas,,,,,,Bremek.,,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2",", 48(2): 46",(1952),,Kenya to S. Trop. Africa,,,Chamaepentas,Bremek.,37728,,,,,34330-1,,Y,,,,"('KEN', 'MLW', 'TAN', 'ZAI', 'ZAM', 'ZIM')",
179,34335-1,Chapelieria,Chapelieria A.Rich. ex DC.,Rubiaceae,Genus,,,,,38361,34335-1,Genus,Accepted,Rubiaceae,,Chapelieria,,,,,,A.Rich. ex DC.,,Prodr., 4: 389,(1830),,Madagascar,,,Chapelieria,A.Rich. ex DC.,38361,,,,,34335-1,,Y,,,,"('MDG',)",
180,34342-1,Chassalia,Chassalia Comm. ex Poir.,Rubiaceae,Genus,,,,,38444,34342-1,Genus,Accepted,Rubiaceae,,Chassalia,,,,,,Comm. ex Poir.,J.B.A.M.de Lamarck,Encycl.,", Suppl. 2: 450",(1812),,Trop. Africa to Trop. & Subtrop. Asia,,,Chassalia,Comm. ex Poir.,38444,,,,,34342-1,,Y,,,,"('AND', 'ANG', 'ASS', 'BAN', 'BEN', 'BOR', 'BUR', 'CAB', 'CAF', 'CBD', 'CHC', 'CHH', 'CHS', 'CHT', 'CMN', 'COM', 'CON', 'EHM', 'EQG', 'GAB', 'GGI', 'GHA', 'GNB', 'GUI', 'IND', 'IVO', 'JAW', 'KEN', 'LAO', 'LBR', 'LSI', 'MAU', 'MDG', 'MLW', 'MLY', 'MOZ', 'MYA', 'NEP', 'NGA', 'PHI', 'REU', 'RWA', 'SEN', 'SIE', 'SRL', 'SUD', 'SUM', 'TAN', 'THA', 'TOG', 'UGA', 'VIE', 'ZAI', 'ZAM')",
181,16495-1,Chelonanthus,Chelonanthus (Griseb.) Gilg,Gentianaceae,Genus,,,,,2716734,16495-1,Genus,Accepted,Gentianaceae,,Chelonanthus,,,,,Griseb.,Gilg,H.G.A.Engler & K.A.E.Prantl,Nat. Pflanzenfam., 4(2): 98,(1895),,Trop. America,,,Chelonanthus,(Griseb.) Gilg,2716734,,,,,16495-1,,N,,,,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'TRT', 'VEN', 'WIN')",
182,2260-1,Chilocarpus,Chilocarpus Blume,Apocynaceae,Genus,,,,,38914,2260-1,Genus,Accepted,Apocynaceae,,Chilocarpus,,,,,,Blume,,Catalogus,: 22,(1823),,Indo-China to New Guinea,,,Chilocarpus,Blume,38914,,,,,2260-1,,Y,,,,"('BOR', 'CBD', 'IND', 'JAW', 'LAO', 'LSI', 'MLY', 'MOL', 'MYA', 'NCB', 'NWG', 'SUL', 'SUM', 'THA', 'VIE')",
183,34349-1,Chimarrhis,Chimarrhis Jacq.,Rubiaceae,Genus,,,,,39027,34349-1,Genus,Accepted,Rubiaceae,,Chimarrhis,,,,,,Jacq.,,Select. Stirp. Amer. Hist.,: 61,(1763),,Trop. America,,,Chimarrhis,Jacq.,39027,,,,,34349-1,,Y,,,,"('BOL', 'BZE', 'BZN', 'CLM', 'COS', 'CUB', 'ECU', 'FRG', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN', 'WIN')",
184,30010725-2,Chiococca,Chiococca P.Browne,Rubiaceae,Genus,,,,,39066,30010725-2,Genus,Accepted,Rubiaceae,,Chiococca,,,,,,P.Browne,,Civ. Nat. Hist. Jamaica,: 164,(1756),,Trop. & Subtrop. America,,,Chiococca,P.Browne,39066,,,,,30010725-2,,Y,,,,"('AGE', 'BAH', 'BER', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CAY', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FLA', 'FRG', 'GAL', 'GUA', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXI', 'MXN', 'MXS', 'MXT', 'NIC', 'NLA', 'PAN', 'PAR', 'PER', 'PUE', 'SWC', 'TCI', 'TEX', 'TRT', 'VEN', 'VNA', 'WIN')",
185,329733-2,Chione,Chione DC.,Rubiaceae,Genus,,,,,39144,329733-2,Genus,Accepted,Rubiaceae,,Chione,,,,,,DC.,,Prodr., 4: 461,(1830),,"Mexico to Peru, Caribbean",,,Chione,DC.,39144,,,,,329733-2,,Y,,,,"('CLM', 'COS', 'CUB', 'DOM', 'ECU', 'GUA', 'HAI', 'HON', 'LEE', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'TRT', 'WIN')",
186,16497-1,Chironia,Chironia L.,Gentianaceae,Genus,,,,,2718718,16497-1,Genus,Accepted,Gentianaceae,,Chironia,,,,,,L.,,Sp. Pl.,: 190,(1753),,Trop. & S. Africa,,,Chironia,L.,2718718,,,,,16497-1,,N,,,,"('ANG', 'BOT', 'BUR', 'CPP', 'KEN', 'LES', 'MLW', 'MOZ', 'NAT', 'OFS', 'SWZ', 'TAN', 'TVL', 'ZAI', 'ZAM', 'ZIM')",
187,3264-1,Chlorocyathus,Chlorocyathus Oliv.,Apocynaceae,Genus,,,,,503100,3264-1,Genus,Accepted,Apocynaceae,,Chlorocyathus,,,,,,Oliv.,,Hooker's Icon. Pl., 16: t. 1557,(1887),,Kenya to S. Africa,,,Chlorocyathus,Oliv.,503100,,,,,3264-1,,Y,,,,"('ANG', 'CPP', 'KEN', 'MOZ', 'NAM', 'NAT', 'TAN', 'TVL', 'ZIM')",
188,77206438-1,Chloropetalum,Chloropetalum Morillo,Apocynaceae,Genus,,,,,537301,77206438-1,Genus,Accepted,Apocynaceae,,Chloropetalum,,,,,,Morillo,,Pittieria, 39: 213,(2015),,Trop. America,,,Chloropetalum,Morillo,537301,,,,,77206438-1,,Y,,,,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'FRG', 'GUY', 'HON', 'LEE', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'TRT', 'VEN', 'WIN')",
189,328093-2,Chomelia,Chomelia Jacq.,Rubiaceae,Genus,,,,,39476,328093-2,Genus,Accepted,Rubiaceae,,Chomelia,,,,,,Jacq.,,Enum. Syst. Pl.,: 12,(1760),", nom. cons.",Mexico to Trop. America,,,Chomelia,Jacq.,39476,,,,,328093-2,,Y,,,,"('AGE', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'JAM', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'URU', 'VEN', 'WIN')",
190,331489-2,Chonemorpha,Chonemorpha G.Don,Apocynaceae,Genus,,,,,39722,331489-2,Genus,Accepted,Apocynaceae,,Chonemorpha,,,,,,G.Don,,Gen. Hist., 4: 76,(1837),,"China, Trop. Asia",,,Chonemorpha,G.Don,39722,,,,,331489-2,,Y,,,,"('AND', 'ASS', 'BAN', 'BOR', 'CBD', 'CHC', 'CHH', 'CHS', 'CHT', 'EHM', 'IND', 'JAW', 'LAO', 'LSI', 'MLY', 'MYA', 'NCB', 'NEP', 'PHI', 'SRL', 'SUL', 'SUM', 'THA', 'VIE', 'WHM')",
191,296764-2,Chorisepalum,Chorisepalum Gleason & Wodehouse,Gentianaceae,Genus,,,,,2719440,296764-2,Genus,Accepted,Gentianaceae,,Chorisepalum,,,,,,Gleason & Wodehouse,,Bull. Torrey Bot. Club, 58: 451,(1931),,Guyana Highlands,,,Chorisepalum,Gleason & Wodehouse,2719440,,,,,296764-2,,N,,,,"('GUY', 'SUR', 'VEN')",
